signal,connector,pin,our_cm4_net,OFFICIAL_net@pin,check
+5V_IN,J3A,77,5V_DCIN,5V_DCIN,OK
+5V_IN,J3A,79,5V_DCIN,5V_DCIN,OK
+5V_IN,J3A,81,5V_DCIN,5V_DCIN,OK
+5V_IN,J3A,83,5V_DCIN,5V_DCIN,OK
+5V_IN,J3A,85,5V_DCIN,5V_DCIN,OK
+5V_IN,J3A,87,5V_DCIN,5V_DCIN,OK
GND,J3A/J3B/J1,ALL_GND,GND,(power/multi — see schematic),
+3V3_OUT(CM4),J3A,"84,86",VCCIO6,(power/multi — see schematic),
+1V8_OUT(CM4),J3A,"88,90",VCC_1V8_S0,(power/multi — see schematic),
GPIO_VREF,J3A,78,GPIO_VREF,GPIO_VREF,OK
MIPI_DPHY_CSI0_RX_CLK0P,J3B,142,MIPI_DPHY_CSI1_RX_CLKP,MIPI_DPHY_CSI1_RX_CLKP,OK
MIPI_DPHY_CSI0_RX_CLK0N,J3B,140,MIPI_DPHY_CSI1_RX_CLKN,MIPI_DPHY_CSI1_RX_CLKN,OK
MIPI_DPHY_CSI0_RX_D0P,J3B,130,MIPI_DPHY_CSI1_RX_D0P,MIPI_DPHY_CSI1_RX_D0P,OK
MIPI_DPHY_CSI0_RX_D0N,J3B,128,MIPI_DPHY_CSI1_RX_D0N,MIPI_DPHY_CSI1_RX_D0N,OK
MIPI_DPHY_CSI0_RX_D1P,J3B,136,MIPI_DPHY_CSI1_RX_D1P,MIPI_DPHY_CSI1_RX_D1P,OK
MIPI_DPHY_CSI0_RX_D1N,J3B,134,MIPI_DPHY_CSI1_RX_D1N,MIPI_DPHY_CSI1_RX_D1N,OK
I2C_CAM_SCL,J3A,80,I2C0_SCL_M1_TP,I2C0_SCL_M1_TP,OK
I2C_CAM_SDA,J3A,82,I2C0_SDA_M1_TP,I2C0_SDA_M1_TP,OK
CAM_RST_n,J3A,97,CAM1_GPIO,CAM1_GPIO,OK
CAM_PWDN,J1,39,CAM_GPIO,CAM_GPIO,OK
CAM_MCLK,J1,65,MIPI_CSI1_CAM_CLKOUT_1V8,MIPI_CSI1_CAM_CLKOUT_1V8,OK
PDM1_CLK1_M1,J3B,96,PDM1_CLK1_M1,PDM1_CLK1_M1,OK
PDM1_SDI1_M1,J3B,94,PDM1_SDI1_M1,PDM1_SDI1_M1,OK
PDM1_SDI2_M1,J3B,111,PDM1_SDI2_M1,PDM1_SDI2_M1,OK
SAI1_SCLK,J1,25,SAI1_SCLK_M0,SAI1_SCLK_M0,OK
SAI1_LRCK,J1,19,SAI1_LRCK_M0,SAI1_LRCK_M0,OK
SAI1_SDO0,J1,29,SAI1_SDO0_M0,SAI1_SDO0_M0,OK
SAI1_MCLK,J1,23,SAI1_MCLK_M0,SAI1_MCLK_M0,OK
GPIO_SPKR_EN,J1,96,SPK_CTL_H,SPK_CTL_H,OK
USB2_OTG0_DP,J3B,105,USB2_OTG0_DP,USB2_OTG0_DP,OK
USB2_OTG0_DM,J3B,103,USB2_OTG0_DM,USB2_OTG0_DM,OK
UART0_TX_M0_DEBUG,J3A,55,UART0_TX_M0_DEBUG,UART0_TX_M0_DEBUG,OK
UART0_RX_M0_DEBUG,J3A,51,UART0_RX_M0_DEBUG,UART0_RX_M0_DEBUG,OK
GNSS_UART_TX,J3A,47,UART7_TX_M0,UART7_TX_M0,OK
GNSS_UART_RX,J3A,45,UART7_RX_M0,UART7_RX_M0,OK
GNSS_PPS,J3A,40,SPI1_MISO_M0,SPI1_MISO_M0,OK
GNSS_RST_n,J3A,44,SPI1_MOSI_M0,SPI1_MOSI_M0,OK
RECOVERY_n,J3A,93,MASKROM,MASKROM,OK
RESET_n,J3A,92,RESET_L,RESET_L,OK
POWER_KEY,J3A,99,PWRON_L,PWRON_L,OK
WL_nDIS,J3A,89,WL_NDIS,WL_NDIS,OK
BT_nDIS,J3A,91,BT_NDIS,BT_NDIS,OK
LED_PWR_n,J3A,95,NPWR_LED,NPWR_LED,OK
LED_STATUS_n,J3A,21,PI_NLED_ACTIVITY,PI_NLED_ACTIVITY,OK
I2C_IMU_SCL,J3A,56,I2C8_SCL_M1,I2C8_SCL_M1,OK
I2C_IMU_SDA,J3A,58,I2C8_SDA_M1,I2C8_SDA_M1,OK
IMU_INT1,J3A,30,GPIO1_C1,GPIO1_C1,OK
VIB_PWM,J3A,48,PWM1_CH0_M2,PWM1_CH0_M2,OK
VIB_EN,J3A,34,CAN1_TX_M3,CAN1_TX_M3,OK
FUEL_I2C_SCL,J3A,35,I2C6_SCL_M3,I2C6_SCL_M3,OK
FUEL_I2C_SDA,J3A,36,I2C6_SDA_M3,I2C6_SDA_M3,OK
CHG_INT_n,J3A,37,SPI1_CSN1_M0,SPI1_CSN1_M0,OK
LOW_BAT_INT_n,J3A,39,SPI1_CSN0_M0,SPI1_CSN0_M0,OK
